detector_key,detector_name,scope,scope_name,runs,real_total,real_correct,real_wrong,real_accuracy,fake_total,fake_correct,fake_wrong,fake_accuracy,overall_accuracy_from_predictions,balanced_accuracy,better_class
mesoinception,MesoInception,all_conditions,all,10,75000,36010,38990,0.480133,73150,38848,34302,0.531073,0.505285,0.505603,fake
mesoinception,MesoInception,clean_only,clean,2,15000,8327,6673,0.555133,14630,6621,8009,0.452563,0.504489,0.503848,real
mesoinception,MesoInception,distorted_only,all,8,60000,27683,32317,0.461383,58520,32227,26293,0.550701,0.505484,0.506042,fake
mesoinception,MesoInception,distortion_type,gaussian_blur,2,15000,3419,11581,0.227933,14630,10710,3920,0.732057,0.476848,0.479995,fake
mesoinception,MesoInception,distortion_type,jpeg,2,15000,8560,6440,0.570667,14630,6395,8235,0.437116,0.504725,0.503891,real
mesoinception,MesoInception,distortion_type,noise,2,15000,7017,7983,0.467800,14630,8851,5779,0.604990,0.535538,0.536395,fake
mesoinception,MesoInception,distortion_type,text_overlay,2,15000,8687,6313,0.579133,14630,6271,8359,0.428640,0.504826,0.503887,real
mesonet,MesoNet,all_conditions,all,10,75000,1010,73990,0.013467,73150,72686,464,0.993657,0.497442,0.503562,fake
mesonet,MesoNet,clean_only,clean,2,15000,41,14959,0.002733,14630,14619,11,0.999248,0.494769,0.500991,fake
mesonet,MesoNet,distorted_only,all,8,60000,969,59031,0.016150,58520,58067,453,0.992259,0.498110,0.504205,fake
mesonet,MesoNet,distortion_type,gaussian_blur,2,15000,0,15000,0.000000,14630,14630,0,1.000000,0.493756,0.500000,fake
mesonet,MesoNet,distortion_type,jpeg,2,15000,54,14946,0.003600,14630,14621,9,0.999385,0.495275,0.501492,fake
mesonet,MesoNet,distortion_type,noise,2,15000,39,14961,0.002600,14630,14620,10,0.999316,0.494735,0.500958,fake
mesonet,MesoNet,distortion_type,text_overlay,2,15000,876,14124,0.058400,14630,14196,434,0.970335,0.508674,0.514367,fake
xception,Xception,all_conditions,all,10,75000,61108,13892,0.814773,73150,16592,56558,0.226822,0.524468,0.520797,real
xception,Xception,clean_only,clean,2,15000,11710,3290,0.780667,14630,3929,10701,0.268558,0.527810,0.524612,real
xception,Xception,distorted_only,all,8,60000,49398,10602,0.823300,58520,12663,45857,0.216388,0.523633,0.519844,real
xception,Xception,distortion_type,gaussian_blur,2,15000,10586,4414,0.705733,14630,4552,10078,0.311141,0.510901,0.508437,real
xception,Xception,distortion_type,jpeg,2,15000,12663,2337,0.844200,14630,2845,11785,0.194463,0.523388,0.519332,real
xception,Xception,distortion_type,noise,2,15000,14909,91,0.993933,14630,45,14585,0.003076,0.504691,0.498505,real
xception,Xception,distortion_type,text_overlay,2,15000,11240,3760,0.749333,14630,5221,9409,0.356869,0.555552,0.553101,real
