dataset_name,condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir
Dataset-1,clean,Dataset-1,Dataset-1,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,,,,,,
NVIDIA-dataset,clean,NVIDIA-dataset,NVIDIA-dataset,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,,,,,,
Dataset-1__gaussian_blur_v1__4a1525bdf7__v0,distorted,Dataset-1,Dataset-1,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/generated_dataset_json/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/source_jsonl/Dataset-1__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/jobs/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/distorted_outputs/Dataset-1
Dataset-1__jpeg_compress_v1__074f6a9a12__v0,distorted,Dataset-1,Dataset-1,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/generated_dataset_json/Dataset-1__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/source_jsonl/Dataset-1__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/jobs/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/distorted_outputs/Dataset-1
Dataset-1__noise_v1__d23d8d061a__v0,distorted,Dataset-1,Dataset-1,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/generated_dataset_json/Dataset-1__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/source_jsonl/Dataset-1__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/jobs/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/distorted_outputs/Dataset-1
Dataset-1__snapchat_text_overlay_v1__ddc9a26517__v0,distorted,Dataset-1,Dataset-1,snapchat_text_overlay_v1,snapchat_text_overlay_v1__ddc9a26517,text_overlay,0,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/generated_dataset_json/Dataset-1__snapchat_text_overlay_v1__ddc9a26517__v0.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/source_jsonl/Dataset-1__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/jobs/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/distorted_outputs/Dataset-1
NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0,distorted,NVIDIA-dataset,NVIDIA-dataset,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/generated_dataset_json/NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/source_jsonl/NVIDIA-dataset__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/jobs/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/distorted_outputs/NVIDIA-dataset
NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0,distorted,NVIDIA-dataset,NVIDIA-dataset,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/generated_dataset_json/NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/source_jsonl/NVIDIA-dataset__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/jobs/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/distorted_outputs/NVIDIA-dataset
NVIDIA-dataset__noise_v1__d23d8d061a__v0,distorted,NVIDIA-dataset,NVIDIA-dataset,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/generated_dataset_json/NVIDIA-dataset__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/source_jsonl/NVIDIA-dataset__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/jobs/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/distorted_outputs/NVIDIA-dataset
NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0,distorted,NVIDIA-dataset,NVIDIA-dataset,snapchat_text_overlay_v1,snapchat_text_overlay_v1__ddc9a26517,text_overlay,0,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/generated_dataset_json/NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/source_jsonl/NVIDIA-dataset__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/jobs/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/work/distorted_outputs/NVIDIA-dataset
