detector_key,detector_name,family,runs_expected,runs_success,complete,acc_mean,auc_mean,eer_mean,ap_mean,auc_gap,runtime_total_sec,runtime_norm,score,status_note
capsule,Capsule,spatial,2,0,0,,,,,,,,,incomplete_or_failed
clip,CLIP,spatial,2,0,0,,,,,,,,,incomplete_or_failed
cnn-aug,CNN-Aug,naive,2,0,0,,,,,,,,,incomplete_or_failed
core,CORE,spatial,2,0,0,,,,,,,,,incomplete_or_failed
dsp-fwa,DSP-FWA,spatial,2,0,0,,,,,,,,,incomplete_or_failed
efficientnet-b4,EfficientNet-B4,naive,2,0,0,,,,,,,,,incomplete_or_failed
effort,Effort,spatial,2,0,0,,,,,,,,,incomplete_or_failed
f3net,F3Net,frequency,2,0,0,,,,,,,,,incomplete_or_failed
face-xray,Face X-ray,spatial,2,0,0,,,,,,,,,incomplete_or_failed
ffd,FFD,spatial,2,0,0,,,,,,,,,incomplete_or_failed
iid,IID,spatial,2,0,0,,,,,,,,,incomplete_or_failed
local-relation,Local-relation,spatial,2,0,0,,,,,,,,,incomplete_or_failed
lsda,LSDA,spatial,2,0,0,,,,,,,,,incomplete_or_failed
mesoinception,MesoInception,naive,2,0,0,,,,,,,,,incomplete_or_failed
mesonet,MesoNet,naive,2,0,0,,,,,,,,,incomplete_or_failed
multi-attention,Multi-Attention,spatial,2,0,0,,,,,,,,,incomplete_or_failed
pcl-i2g,PCL-I2G,spatial,2,0,0,,,,,,,,,incomplete_or_failed
recce,RECCE,spatial,2,0,0,,,,,,,,,incomplete_or_failed
rfm,RFM,spatial,2,0,0,,,,,,,,,incomplete_or_failed
sbi,SBI,spatial,2,0,0,,,,,,,,,incomplete_or_failed
sia,SIA,spatial,2,0,0,,,,,,,,,incomplete_or_failed
sladd,SLADD,spatial,2,0,0,,,,,,,,,incomplete_or_failed
spsl,SPSL,frequency,2,0,0,,,,,,,,,incomplete_or_failed
srm,SRM,frequency,2,0,0,,,,,,,,,incomplete_or_failed
ucf,UCF,spatial,2,0,0,,,,,,,,,incomplete_or_failed
uia-vit,UIA-ViT,spatial,2,0,0,,,,,,,,,incomplete_or_failed
xception,Xception,naive,2,0,0,,,,,,,,,incomplete_or_failed
